Id,Label,TotalQuantity,TotalRevenue,InvoiceCount,Degree,WeightedDegree
85123A,WHITE HANGING HEART T-LIGHT HOLDER,96147,263109.67,5365,155,27763
85099B,JUMBO BAG RED WHITE SPOTTY ,98349,183454.83,3989,89,20749
20725,LUNCH BAG RED SPOTTY,40942,72292.85,3056,77,16229
22423,REGENCY CAKESTAND 3 TIER,27577,344563.25,3918,77,11879
22383,LUNCHBAG SUKI  DESIGN ,25461,43932.56,2398,51,10923
22386,JUMBO BAG PINK WITH WHITE SPOTS,39840,77111.91,2245,43,10634
21212,PACK OF 72 RETRO SPOT CAKE CASES,96560,52997.200000000004,3118,56,10195
21931,JUMBO STORAGE BAG SUKI,29503,62285.28,2329,42,10111
22384,LUNCHBAG PINK RETROSPOT,21037,34506.659999999996,2106,45,9516
20727,LUNCH BAG  BLACK SKULL.,27126,46422.49,2351,46,9482
22382,LUNCHBAG SPACEBOY DESIGN ,20458,34436.39,2153,43,8850
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27732,58275.45,2192,38,8234
20728,LUNCH BAG CARS BLUE,24892,42784.74,2067,37,7973
84879,ASSORTED COLOUR BIRD ORNAMENT,81809,132187.91999999998,2807,49,7581
85099F,JUMBO BAG STRAWBERRY,37124,68488.81,1830,35,7208
20726,LUNCH BAG WOODLAND,22341,38949.729999999996,1926,36,7133
20724,RED SPOTTY CHARLOTTE BAG,32487,35595.63,2035,33,6511
85099C,JUMBO  BAG BAROQUE BLACK WHITE,31249,60292.32,1868,28,6165
21232,STRAWBERRY CERAMIC TRINKET BOX,38981,50760.48,2435,33,5080
84991,60 TEATIME FAIRY CAKE CASES,54716,27404.22,2127,26,5041
21929,JUMBO BAG PINK VINTAGE PAISLEY,25954,50334.1,1619,24,4868
21928,JUMBO BAG SCANDINAVIAN PAISLEY,24780,47095.72,1542,21,4756
22385,JUMBO BAG SPACEBOY DESIGN,17227,32749.37,1248,24,4669
21080,SET/20 RED SPOTTY PAPER NAPKINS ,31823,26031.969999999998,2123,28,4524
21181,PLEASE ONE PERSON  METAL SIGN,25117,51005.82000000001,1810,24,4432
82494L,WOODEN FRAME ANTIQUE WHITE ,15645,44796.9,1973,21,4333
20712,JUMBO BAG WOODLAND ANIMALS,17957,38029.89,1415,24,4329
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56794,28490.98,1993,22,4234
POST,POSTAGE,5461,127597.42,1851,27,4213
21930,JUMBO STORAGE BAG SKULLS,13657,27923.57,1321,21,4206
23203,JUMBO BAG DOILEY PATTERNS,20503,42067.78,1231,25,4197
22355,"CHARLOTTE BAG , SUKI DESIGN",32692,46633.439999999995,1742,21,4196
