Source,Target,Type,Weight
79323P,79323W,Undirected,128
21523,79323W,Undirected,33
21232,22064,Undirected,203
21232,21871,Undirected,37
21232,21523,Undirected,42
21523,21871,Undirected,34
22349,22350,Undirected,116
21755,48173C,Undirected,33
21754,48173C,Undirected,36
21754,21755,Undirected,591
21755,84879,Undirected,168
21755,22119,Undirected,83
21755,22296,Undirected,67
21755,22295,Undirected,46
21755,82582,Undirected,49
21181,21755,Undirected,111
21755,21756,Undirected,168
21755,22111,Undirected,50
21754,84879,Undirected,254
21754,22119,Undirected,71
21754,22296,Undirected,65
21754,22295,Undirected,47
21754,82582,Undirected,46
21181,21754,Undirected,129
21754,21756,Undirected,237
21754,22111,Undirected,75
22296,84879,Undirected,110
22295,84879,Undirected,109
82582,84879,Undirected,45
21181,84879,Undirected,91
21756,84879,Undirected,65
22111,84879,Undirected,72
21181,22119,Undirected,30
22295,22296,Undirected,166
21181,22296,Undirected,38
21181,22295,Undirected,31
22107,22109,Undirected,73
21181,82582,Undirected,142
21181,21756,Undirected,34
21181,22111,Undirected,73
84596F,84596L,Undirected,60
21987,21989,Undirected,160
22112,84970S,Undirected,38
20971,22271,Undirected,124
20971,22272,Undirected,43
20971,22274,Undirected,104
20971,22111,Undirected,31
20971,22112,Undirected,33
22271,22272,Undirected,117
22271,22274,Undirected,224
22272,22274,Undirected,110
22111,22112,Undirected,377
21033,21100,Undirected,35
20711,21033,Undirected,96
84031A,84031B,Undirected,30
84032A,84032B,Undirected,145
84519A,84519B,Undirected,56
85132A,85132C,Undirected,39
85183A,85183B,Undirected,51
22064,22065,Undirected,33
22138,22139,Undirected,344
22138,22352,Undirected,46
22138,85014B,Undirected,36
22138,22333,Undirected,30
21731,22138,Undirected,59
20749,22138,Undirected,86
22138,POST,Undirected,105
22139,22352,Undirected,48
22139,85014B,Undirected,57
21731,22139,Undirected,93
20749,22139,Undirected,63
22139,POST,Undirected,112
22352,85014A,Undirected,33
22352,85014B,Undirected,37
21731,22352,Undirected,65
20749,22352,Undirected,36
22352,POST,Undirected,160
85014A,85014B,Undirected,278
85014A,POST,Undirected,30
21731,85014B,Undirected,30
85014B,POST,Undirected,60
21731,22333,Undirected,31
22333,POST,Undirected,78
20749,21731,Undirected,33
21731,POST,Undirected,247
85232B,POST,Undirected,39
20749,POST,Undirected,74
22138,84029E,Undirected,39
22111,22138,Undirected,54
22111,84029E,Undirected,204
21955,22111,Undirected,33
21955,85123A,Undirected,119
22111,85123A,Undirected,211
21430,22111,Undirected,31
21790,22111,Undirected,40
22296,85123A,Undirected,206
22271,85123A,Undirected,55
21790,22271,Undirected,50
22272,85123A,Undirected,30
21590,85123A,Undirected,48
22024,85123A,Undirected,30
22026,85123A,Undirected,46
22029,85123A,Undirected,74
21428,85123A,Undirected,43
21430,85123A,Undirected,74
21916,85123A,Undirected,60
21790,85123A,Undirected,127
21888,85123A,Undirected,47
21586,21590,Undirected,37
22024,22029,Undirected,52
22024,22025,Undirected,32
22026,22029,Undirected,63
22025,22029,Undirected,62
21790,22029,Undirected,51
21428,21430,Undirected,127
21790,21916,Undirected,34
21790,21888,Undirected,132
20754,21035,Undirected,45
20754,21041,Undirected,30
21035,82580,Undirected,54
21035,85150,Undirected,30
21035,21041,Undirected,100
22041,82001S,Undirected,39
82580,85150,Undirected,82
22138,84988,Undirected,35
21929,22138,Undirected,32
21733,85123A,Undirected,805
21733,22178,Undirected,69
21733,22086,Undirected,72
21733,22111,Undirected,66
21733,22112,Undirected,74
21733,22294,Undirected,54
21733,22083,Undirected,32
21733,22114,Undirected,64
21485,21733,Undirected,86
21733,21929,Undirected,31
21733,85099B,Undirected,92
21733,22356,Undirected,31
20724,21733,Undirected,40
20725,21733,Undirected,73
20728,21733,Undirected,54
20726,21733,Undirected,45
20754,21733,Undirected,31
21733,85066,Undirected,53
22178,85123A,Undirected,250
21671,85123A,Undirected,70
22086,85123A,Undirected,137
22112,85123A,Undirected,206
22294,85123A,Undirected,170
22083,85123A,Undirected,118
22114,85123A,Undirected,152
21485,85123A,Undirected,192
21928,85123A,Undirected,107
21929,85123A,Undirected,117
85099B,85123A,Undirected,360
22356,85123A,Undirected,124
20724,85123A,Undirected,174
21592,85123A,Undirected,43
20725,85123A,Undirected,300
20728,85123A,Undirected,194
20726,85123A,Undirected,145
20754,85123A,Undirected,76
21217,85123A,Undirected,106
22195,85123A,Undirected,48
85066,85123A,Undirected,204
22086,22178,Undirected,37
22111,22178,Undirected,42
22112,22178,Undirected,34
22178,22294,Undirected,61
22083,22178,Undirected,30
22114,22178,Undirected,38
21485,22178,Undirected,45
21928,22178,Undirected,42
