CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,CTR,ClickToLead,LeadToConversion,ClickToConversion,CPC,CPL,CAC,ROAS,StartMonth,Priority
CAMP00001,2025-11-23,2025-12-09,Search,102725,6365,1492,388,9356.37,41907.9,3.4791,0.061961547821854465,0.23440691280439907,0.26005361930294907,0.060958366064414765,1.4699717203456404,6.271025469168901,24.114355670103095,4.479076821459604,2025-11,Scale review
CAMP00002,2025-06-24,2025-07-20,Social,41985,1045,145,27,893.97,2126.43,1.3786,0.024889841610098846,0.13875598086124402,0.18620689655172415,0.02583732057416268,0.8554736842105264,6.165310344827587,33.11,2.37863686700896,2025-06,Investigate
CAMP00003,2025-01-02,2025-01-10,Email,65728,4402,1113,221,3122.91,14054.47,3.5004,0.06697297955209347,0.25283961835529306,0.1985624438454627,0.0502044525215811,0.7094298046342571,2.8058490566037735,14.130814479638008,4.500440294468941,2025-01,Scale review
CAMP00004,2025-05-17,2025-06-10,Email,38986,3569,1029,224,2811.11,16703.57,4.942,0.0915456830657159,0.2883160549173438,0.21768707482993196,0.06276267862146259,0.7876463995516952,2.731885325558795,12.549598214285714,5.941983771535087,2025-05,Scale review
CAMP00005,2025-10-07,2025-10-17,Email,98671,10314,3177,753,7331.82,42075.82,4.7388,0.10452919297463287,0.3080279232111693,0.23701605288007555,0.07300756253635834,0.7108609656777196,2.307780925401322,9.736812749003983,5.738796097012747,2025-10,Scale review
CAMP00006,2025-07-22,2025-08-13,Display,39290,417,43,8,260.59,681.51,1.6153,0.010613387630440316,0.10311750599520383,0.18604651162790697,0.019184652278177457,0.6249160671462829,6.060232558139535,32.57375,2.615257684485207,2025-07,Investigate
CAMP00007,2025-02-19,2025-03-07,Influencer,32678,865,142,22,959.87,1449.45,0.51,0.02647040822571761,0.16416184971098266,0.15492957746478872,0.025433526011560695,1.1096763005780348,6.759647887323943,43.63045454545455,1.5100482356985843,2025-02,Investigate
CAMP00008,2025-08-28,2025-09-15,Search,76589,4252,938,240,5440.41,23934.07,3.3993,0.05551711081225764,0.22060206961429915,0.255863539445629,0.05644402634054563,1.279494355597366,5.80001066098081,22.668375,4.39931365466941,2025-08,Scale review
CAMP00009,2025-09-14,2025-10-02,Social,95534,3132,572,112,2071.88,8285.98,2.9993,0.032784139678020394,0.1826309067688378,0.1958041958041958,0.035759897828863345,0.6615197956577267,3.6221678321678326,18.49892857142857,3.9992567137092876,2025-09,Scale review
CAMP00010,2025-09-17,2025-10-09,Search,54400,2586,574,122,3657.89,7673.92,1.0979,0.047536764705882355,0.2219644238205723,0.21254355400696864,0.04717710750193349,1.4144972931167825,6.372630662020906,29.982704918032788,2.0979089037669256,2025-09,Investigate
CAMP00011,2025-10-21,2025-10-27,Influencer,40660,1562,308,82,1758.93,4958.61,1.8191,0.038416133792424985,0.19718309859154928,0.2662337662337662,0.052496798975672214,1.1260755441741357,5.710811688311688,21.45036585365854,2.819105933721069,2025-10,Investigate
CAMP00012,2025-04-27,2025-05-15,Influencer,27669,913,147,29,1130.51,1889.87,0.6717,0.032997217102172106,0.16100766703176342,0.19727891156462585,0.03176341730558598,1.238236582694414,7.690544217687075,38.98310344827586,1.671696844786866,2025-04,Investigate
CAMP00013,2025-09-09,2025-10-02,Social,30622,588,87,10,450.55,674.43,0.4969,0.01920188100058781,0.14795918367346939,0.11494252873563218,0.017006802721088437,0.7662414965986395,5.178735632183908,45.055,1.4969037842636777,2025-09,Investigate
CAMP00014,2025-07-02,2025-07-11,Display,71176,939,97,17,640.43,965.72,0.5079,0.013192649207598066,0.1033013844515442,0.17525773195876287,0.01810436634717785,0.6820340788072417,6.602371134020618,37.67235294117647,1.5079243633183956,2025-07,Investigate
CAMP00015,2025-12-12,2025-12-31,Social,34678,702,123,13,561.52,890.52,0.5859,0.02024338197127862,0.1752136752136752,0.10569105691056911,0.018518518518518517,0.7998860398860399,4.5652032520325205,43.19384615384615,1.5859096737426983,2025-12,Investigate
CAMP00016,2025-02-20,2025-03-17,Display,57766,592,46,6,336.6,437.11,0.2986,0.010248242911054946,0.0777027027027027,0.13043478260869565,0.010135135135135136,0.5685810810810811,7.317391304347827,56.1,1.2986036838978015,2025-02,Investigate
CAMP00017,2025-04-06,2025-04-12,Email,70149,5127,1354,260,3987.17,18234.22,3.5732,0.07308728563486293,0.2640920616344841,0.19202363367799113,0.05071191730056563,0.777680905012678,2.9447341211226,15.335269230769232,4.573223614744292,2025-04,Scale review
CAMP00018,2025-12-13,2025-12-19,Email,75493,4570,1058,188,3239.34,10673.43,2.2949,0.06053541387943253,0.2315098468271335,0.1776937618147448,0.04113785557986871,0.7088271334792123,3.061758034026465,17.230531914893618,3.294939709940914,2025-12,Scale review
CAMP00019,2025-06-29,2025-07-14,Search,76921,4432,972,234,6536.85,20280.85,2.1025,0.0576175556740032,0.21931407942238268,0.24074074074074073,0.05279783393501805,1.4749210288808665,6.725154320987655,27.93525641025641,3.1025417441122247,2025-06,Investigate
CAMP00020,2025-11-27,2025-12-14,Search,147190,8219,1797,419,10087.07,37687.48,2.7362,0.05583939126299341,0.21863973719430588,0.23316638842515303,0.0509794378878209,1.227286774546782,5.613283249860879,24.07415274463007,3.7362167606648913,2025-11,Scale review
CAMP00021,2025-02-11,2025-02-23,Social,111944,2927,488,97,2097.29,8533.19,3.0687,0.026147002072464804,0.16672360778954562,0.1987704918032787,0.033139733515544924,0.7165322856166724,4.297725409836065,21.621546391752577,4.068674336882358,2025-02,Scale review
CAMP00022,2025-02-28,2025-03-25,Email,40319,2780,704,129,2739.68,6191.3,1.2599,0.06895012277090205,0.25323741007194245,0.18323863636363635,0.046402877697841724,0.9854964028776978,3.8915909090909087,21.23782945736434,2.259862465689424,2025-02,Investigate
CAMP00023,2025-07-18,2025-07-30,Social,33866,1254,260,55,1090.15,3443.23,2.1585,0.03702828795842438,0.20733652312599682,0.21153846153846154,0.043859649122807015,0.8693381180223286,4.1928846153846155,19.820909090909094,3.158491950648993,2025-07,Investigate
CAMP00024,2025-10-25,2025-11-09,Search,28584,2003,464,120,3359.74,9895.4,1.9453,0.0700741673663588,0.23165252121817273,0.25862068965517243,0.05991013479780329,1.6773539690464303,7.240818965517241,27.997833333333332,2.9452874329561216,2025-10,Investigate
CAMP00025,2025-01-11,2025-01-29,Email,54406,4131,1085,215,3838.16,10409.27,1.712,0.07592912546410323,0.2626482691842169,0.19815668202764977,0.05204550956184943,0.9291115952553861,3.53747465437788,17.851906976744186,2.712046918315026,2025-01,Investigate
